pm10,pm25,so2,co,o3,no2,categori
64,107,43,31,30,26,1
72,118,57,26,33,24,1
42,68,49,7,37,22,2
55,93,38,9,28,20,2
50,79,41,6,26,18,2
56,93,40,11,26,20,2
57,91,40,10,29,26,2
47,72,41,15,26,23,2
59,93,41,9,37,24,2
47,77,22,9,27,15,2
41,69,29,7,23,11,2
42,69,34,7,25,12,2
50,77,40,10,19,24,2
54,90,25,14,21,25,2
37,67,19,11,29,20,2
50,82,21,20,31,32,2
43,74,21,8,30,14,2
33,58,17,6,38,6,2
40,72,23,8,38,8,2
53,89,29,9,38,13,2
50,83,27,8,36,10,2
65,115,25,14,31,13,1
51,81,25,7,32,6,2
51,81,24,10,25,13,2
39,69,23,8,28,8,2
45,75,22,10,29,13,2
30,56,24,7,39,12,2
51,82,22,15,26,24,2
51,87,26,8,28,16,2
50,84,25,13,26,24,2
52,90,21,14,30,21,2
63,109,24,23,27,40,1
64,108,25,17,30,25,1
44,70,24,9,30,22,2
48,79,34,7,24,17,2
34,61,32,5,20,11,2
49,77,37,8,20,19,2
54,88,37,11,19,29,2
46,66,24,15,18,29,2
52,82,21,11,27,18,2
64,77,59,16,41,43,2
59,84,45,10,23,14,2
57,84,47,9,26,13,2
53,69,45,7,25,10,2
36,54,41,6,27,12,2
61,88,44,12,30,14,2
54,73,46,7,32,11,2
61,91,46,11,29,16,2
69,102,45,14,29,16,1
57,84,45,12,22,15,2
53,79,48,9,24,15,2
60,88,45,11,30,13,2
58,86,43,10,35,11,2
68,104,45,14,27,14,1
57,83,46,10,29,14,2
53,80,44,10,33,15,2
58,88,49,14,29,18,2
66,100,46,13,31,17,2
66,100,46,11,32,15,2
57,81,44,10,33,11,2
54,82,46,9,30,15,2
62,92,47,9,31,13,2
63,94,46,10,42,17,2
67,28,46,12,35,15,2
87,27,46,16,38,17,2
64,27,10,19,38,32,2
51,86,39,8,30,22,2
42,81,38,9,27,20,2
55,104,38,12,21,25,1
51,87,41,7,23,20,2
53,90,38,8,21,19,2
59,105,37,16,13,21,1
59,101,38,8,19,18,1
54,92,40,7,21,17,2
48,82,40,6,26,16,2
35,68,38,6,30,19,2
56,102,39,11,27,23,1
57,104,40,8,21,20,1
55,101,40,11,19,25,1
58,98,41,9,21,21,2
63,114,39,11,15,21,1
55,100,41,8,17,21,2
59,103,41,8,24,20,1
58,97,38,9,30,20,2
67,119,42,13,28,28,1
64,106,40,11,28,23,1
50,85,39,8,25,21,2
74,134,43,14,22,29,1
63,106,40,10,24,20,1
61,110,42,11,26,24,1
62,106,42,9,26,28,1
53,91,40,7,28,19,2
58,105,39,10,28,22,1
65,123,38,10,36,23,1
66,122,39,12,28,25,1
76,140,41,16,30,31,1
61,109,41,10,32,26,1
44,70,30,8,29,11,2
46,75,27,8,27,12,2
53,80,30,9,27,21,2
46,74,33,7,26,18,2
50,78,30,9,17,21,2
57,94,31,20,12,52,2
50,71,37,7,19,18,2
49,73,39,7,23,13,2
45,61,39,4,21,14,2
26,52,27,6,24,14,2
54,92,29,11,25,25,2
54,78,32,7,27,18,2
61,100,33,11,21,32,2
73,116,38,14,26,40,1
62,87,33,12,17,30,2
51,74,35,7,22,20,2
59,89,32,8,26,19,2
62,97,28,9,30,17,2
63,106,38,13,26,33,1
55,81,39,8,34,27,2
58,89,32,10,31,24,2
62,94,35,12,24,29,2
59,88,31,9,22,22,2
60,97,31,7,32,12,2
63,95,31,10,29,20,2
64,96,32,9,31,14,2
61,96,34,8,29,15,2
63,100,31,8,44,12,2
67,111,32,10,36,13,1
83,126,35,16,32,29,1
60,92,30,7,32,14,2
56,86,42,8,21,21,2
63,106,40,15,29,25,1
52,82,41,12,27,24,2
45,80,42,8,26,19,2
59,109,43,10,33,30,1
63,88,29,15,24,38,2
60,83,29,11,30,28,2
60,82,27,11,37,30,2
58,77,26,10,31,28,2
63,85,27,11,28,28,2
68,92,31,11,26,24,2
52,65,28,9,19,24,2
53,76,25,16,23,34,2
45,62,25,12,27,31,2
51,66,27,10,25,32,2
66,93,32,12,34,41,2
61,80,26,10,28,27,2
51,64,29,8,23,21,2
31,42,24,8,20,19,3
54,81,29,20,20,45,2
48,65,29,9,23,24,2
42,66,29,7,26,20,2
50,73,29,8,23,22,2
53,78,26,8,33,19,2
51,69,27,10,25,34,2
55,81,28,11,29,36,2
57,80,29,11,24,32,2
54,80,29,8,27,22,2
57,74,34,8,20,26,2
49,67,31,7,24,20,2
52,72,28,6,28,19,2
51,72,27,12,22,33,2
45,63,25,9,24,28,2
54,76,26,12,29,38,2
63,94,27,13,38,37,2
79,102,55,14,30,29,1
66,89,52,10,39,19,2
66,87,51,9,39,18,2
62,79,50,9,37,18,2
74,100,52,12,35,22,2
66,87,51,10,34,13,2
58,72,51,9,27,16,2
64,87,52,13,27,31,2
68,88,54,12,35,29,2
58,77,53,9,32,20,2
70,99,53,11,46,22,2
66,82,51,9,36,12,2
56,71,52,9,27,14,2
36,47,50,8,47,15,3
69,95,54,17,45,35,2
52,66,52,8,52,15,2
46,66,51,7,53,9,2
56,79,53,8,51,15,2
52,73,50,8,68,10,2
58,81,52,11,54,25,2
61,85,52,10,58,19,2
64,82,54,10,48,22,2
61,85,53,8,53,13,2
57,76,53,8,47,13,2
55,81,52,8,50,13,2
54,81,57,10,63,16,2
71,105,63,12,63,24,1
57,83,46,13,32,14,2
65,99,46,15,29,16,2
56,86,45,9,39,13,2
53,77,45,9,30,13,2
61,93,46,11,36,14,2
73,108,48,13,29,15,1
60,84,48,11,26,15,2
60,82,48,12,29,15,2
48,61,46,9,31,12,2
49,71,49,9,36,15,2
61,89,50,10,43,16,2
55,78,47,9,30,13,2
51,65,47,8,26,11,2
32,51,46,7,21,11,2
53,81,50,17,24,22,2
51,72,50,10,27,15,2
47,72,49,7,29,13,2
55,80,50,9,27,15,2
56,81,48,10,31,12,2
45,59,49,7,33,10,2
54,78,50,9,35,15,2
57,78,49,14,26,18,2
57,82,51,10,29,16,2
55,77,52,8,27,15,2
54,75,50,11,22,16,2
54,74,50,10,27,13,2
48,71,49,12,26,16,2
61,26,49,13,31,22,2
67,27,49,16,40,19,2
68,118,40,16,26,27,1
65,115,39,12,26,25,1
62,111,42,10,34,23,1
57,93,42,9,31,19,2
69,120,43,12,27,26,1
62,109,42,9,29,16,1
83,111,56,11,50,24,1
92,120,59,11,56,26,1
78,104,54,10,63,17,1
78,119,54,11,43,23,1
56,75,51,12,50,23,2
79,111,62,11,56,26,1
85,115,53,11,53,19,1
74,99,55,10,58,20,2
82,114,55,11,58,17,1
74,100,51,10,77,13,2
86,113,51,14,60,19,1
54,72,52,9,58,13,2
60,82,53,11,54,22,2
66,95,54,13,51,30,2
81,112,55,16,54,28,1
